"DTI_CL_INDICADOR","Indicator","DTI_CL_TRIMESTRE_MOVIL","Mobile trimester","DTI_CL_REGION","Region","DTI_CL_SEXO","Sex","Value","Flag Codes","Flags"
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL14","Region of Los Ríos","M","Male",67.7248338833141,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL14","Region of Los Ríos","F","Female",46.0129711270898,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL10","Region of Los Lagos","_T","Total",55.9467228142674,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL10","Region of Los Lagos","M","Male",68.7810319059455,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL10","Region of Los Lagos","F","Female",42.5054297843318,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL11","Region of Aysén del Gral. Carlos Ibáñez del Campo","_T","Total",66.9380584867256,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL11","Region of Aysén del Gral. Carlos Ibáñez del Campo","M","Male",72.5027409116329,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL11","Region of Aysén del Gral. Carlos Ibáñez del Campo","F","Female",60.6467554255389,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL12","Region of Magallanes y La Antártica Chilena","_T","Total",64.7827753076024,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL12","Region of Magallanes y La Antártica Chilena","M","Male",71.4006063715748,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL12","Region of Magallanes y La Antártica Chilena","F","Female",57.301685179686,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","_T","Nationwide total","_T","Total",55.0919440374348,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","_T","Nationwide total","M","Male",65.6121357779219,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","_T","Nationwide total","F","Female",44.8814380340405,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL15","Region of Arica y Parinacota","_T","Total",56.3397979770976,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL15","Region of Arica y Parinacota","M","Male",66.930768796254,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL15","Region of Arica y Parinacota","F","Female",47.3845184755108,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL01","Region of Tarapacá","_T","Total",55.8543293718478,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL01","Region of Tarapacá","M","Male",63.5078692053836,,
